date,CH4
2025-08-24,0
2025-08-25,0
2025-08-27,0
2025-08-29,0
2025-09-02,0
2025-09-03,0
2025-09-04,0
2025-09-05,0
2025-09-13,0
2025-09-14,0
2025-09-23,0
2025-09-24,0
2025-09-28,0
2025-10-03,0
2025-10-09,0
2025-10-10,0
2025-10-16,0
2025-10-17,0
2026-01-30,0
2026-04-15,0
2026-04-16,0
2026-04-17,0
2026-04-20,0
2026-04-25,0
2026-04-26,0
2026-05-08,0
2026-05-11,0
2026-05-12,0
2026-05-24,0
2026-05-26,0
2026-05-28,0
2026-05-29,0
2026-05-31,0
2026-06-02,0
2026-06-06,0
2026-06-07,0
2026-06-08,0
2026-06-09,0
2026-06-11,0
2026-06-17,0
2026-06-18,0
2026-06-19,0
2026-06-22,0
2026-06-23,0
2026-06-24,0
2026-06-25,0
2026-06-27,0
2026-06-28,0
2026-06-29,0
2026-06-30,0
2026-07-02,0
2026-07-03,0
2026-07-04,0
2026-07-05,0
2026-07-08,0
2026-07-09,0
2026-07-10,0
2026-07-13,0
2026-07-19,0
2026-07-20,0
2026-07-22,0
2026-07-24,0
2026-07-25,0
2026-07-26,0
2026-07-30,0
2026-07-31,0
2026-08-01,0
2026-08-04,0
2026-08-05,0
2026-08-06,0
2026-08-09,0
2026-08-10,0
2026-08-11,0
2026-08-12,0
2026-08-14,0
2026-08-15,0
2026-08-16,0
2026-08-17,0
2026-08-19,0
2026-08-20,0
2026-08-21,0
2026-08-22,0
