date,NO2
2025-09-03,8.787686056166422e-06
2025-09-06,5.146753755980171e-05
2025-09-07,1.322437765338691e-05
2025-09-12,2.422743636998348e-05
2025-09-13,1.966185482160654e-05
2025-09-14,2.157564267690759e-05
2025-09-15,1.8384091163170524e-05
2025-09-22,2.1909394490648992e-05
2025-09-23,4.1675782995298505e-05
2025-09-24,4.018066465505399e-05
2025-09-26,9.846133252722211e-06
2025-09-28,2.193933687522076e-05
2025-10-02,3.7077027172927046e-06
2025-10-03,4.730432556243613e-05
2025-10-04,4.432902642292902e-05
2025-10-07,2.1778496375191025e-05
2025-10-08,4.402825652505271e-05
2025-10-09,2.5963032385334373e-05
2025-10-10,4.899895793641917e-05
2025-10-14,2.6402180083096027e-05
2025-10-19,3.026027297892142e-05
2025-10-28,3.672289312817156e-05
2025-11-04,2.185970697610173e-05
2025-11-07,2.209559170296416e-05
2025-11-19,3.5963017580797896e-05
2025-11-21,2.1850293705938384e-05
2025-11-23,1.7547627066960558e-05
2025-11-25,3.871026638080366e-05
2025-11-26,2.0057377696502957e-05
2025-12-05,5.059631348558469e-06
2025-12-10,3.304161145933904e-05
2025-12-11,2.1845096853212453e-05
2025-12-12,2.6172196157858707e-05
2025-12-15,2.127084917447064e-05
2025-12-17,2.193267391703557e-05
2025-12-21,3.880677104461938e-05
2025-12-22,2.908383976318873e-05
2025-12-23,4.14878231822513e-05
2025-12-24,2.743815457506571e-05
2025-12-25,2.487076199031435e-05
2025-12-28,4.0466526115778834e-05
2025-12-29,3.177343387505971e-05
2026-01-19,2.138578201993369e-05
2026-01-24,8.575614629080519e-06
2026-01-25,2.184254663006868e-05
2026-01-30,1.3035875781497452e-05
2026-01-31,2.2417332729673944e-05
2026-02-01,2.0901979951304384e-05
2026-02-02,1.7298121747444384e-05
2026-02-03,1.8161626940127466e-05
2026-02-04,2.0728570234496143e-05
2026-02-06,2.145451799151488e-05
2026-02-08,2.938332181656733e-05
2026-02-15,2.9894514227635227e-05
2026-02-16,1.70037255884381e-05
2026-02-27,1.40604433909175e-05
2026-02-28,3.1537492759525776e-05
2026-03-04,1.5471032384084538e-05
2026-03-08,3.850254142889753e-05
2026-03-09,6.401263817679137e-05
2026-03-10,6.352803757181391e-05
2026-03-12,3.4015214623650536e-05
2026-03-13,2.2572758098249324e-05
2026-03-14,3.774328433792107e-05
2026-03-15,3.062822361243889e-05
2026-03-16,2.590836811577901e-05
2026-03-18,5.180173320695758e-05
2026-03-23,5.085572774987668e-05
2026-03-25,4.204837023280561e-05
2026-03-27,2.1766791178379208e-05
2026-03-29,2.951710484921932e-05
2026-04-07,1.960184454219416e-05
2026-04-08,2.3659467842662707e-05
2026-04-18,1.7380907593178563e-05
2026-04-20,2.701564153539948e-05
2026-05-01,5.447654621093534e-05
2026-05-04,2.0065817807335407e-05
2026-05-06,1.6878228052519262e-05
2026-05-08,2.4563256374676712e-05
2026-05-15,2.265576767968014e-05
2026-05-18,2.761791074590292e-05
2026-05-20,3.390482015674934e-05
2026-05-25,3.269866647315212e-05
2026-05-26,6.126041989773512e-05
2026-05-27,2.165585283364635e-05
2026-05-31,2.224993659183383e-05
2026-06-01,2.9645509130205028e-05
2026-06-02,2.9317259759409357e-05
2026-06-03,2.477315865689889e-05
2026-06-04,2.412188950984273e-05
2026-06-06,1.7004962501232512e-05
2026-06-07,3.0230436095735055e-05
2026-06-08,3.1812993256608024e-05
2026-06-09,2.6119689209735952e-05
2026-06-10,2.3226753910421397e-05
2026-06-11,2.2790256480220705e-05
2026-06-15,1.6316187611664645e-05
2026-06-16,4.081989754922688e-05
2026-06-18,2.6497893486521207e-05
2026-06-19,4.36441732745152e-05
2026-06-28,2.8282489438424815e-05
2026-06-29,2.678858072613366e-05
2026-06-30,6.278460205066949e-05
2026-07-01,5.502832573256456e-05
2026-07-02,4.3757696403190494e-05
2026-07-03,2.1681818907381967e-05
2026-07-07,2.8753582228091545e-05
2026-07-08,3.964559073210694e-05
2026-07-09,3.705083508975804e-05
2026-07-10,3.160982669214718e-05
2026-07-12,2.886304901039693e-05
2026-07-18,3.761793050216511e-05
2026-07-19,3.1453284464078024e-05
2026-07-20,3.390509664313868e-05
2026-07-21,3.446767368586734e-05
2026-07-22,2.8450434911064804e-05
2026-07-23,3.447236667852849e-05
2026-07-24,2.961972677439917e-05
2026-07-25,4.341658859630115e-05
2026-07-29,3.890246807713993e-05
2026-08-09,4.203344724373892e-05
2026-08-10,5.3399708122015e-05
2026-08-11,3.608579208957963e-05
2026-08-12,3.909249790012837e-05
2026-08-13,3.173796721966937e-05
2026-08-14,3.0915009119780734e-05
2026-08-17,9.982402843888847e-06
2026-08-22,7.969585567479953e-06
2026-08-24,2.516916356398724e-05
2026-08-25,3.2394986192230135e-05
2026-08-27,4.028228431707248e-05
2026-08-28,1.866437378339469e-05
