fitur,domain,nilai
dfa,fractal,
higuchi_fractal_dimension,fractal,
hurst_exponent,fractal,
maximum_fractal_length,fractal,
mse,fractal,
petrosian_fractal_dimension,fractal,1.0470697780328848
fundamental_frequency,spectral,0.007575757575757576
human_range_energy,spectral,0.0
lpcc,spectral,0.5884654750256779
max_frequency,spectral,0.44696969696969696
max_power_spectrum,spectral,8.958467582600164
median_frequency,spectral,0.10606060606060606
mfcc,spectral,41.2743806866148
power_bandwidth,spectral,0.40151515151515155
spectral_centroid,spectral,0.1518152742015389
spectral_decrease,spectral,-2.4197492874219657
spectral_distance,spectral,-0.14778648121547366
spectral_entropy,spectral,0.8915628399794372
spectral_kurtosis,spectral,1.984819451122796
spectral_positive_turning,spectral,23.0
spectral_roll_off,spectral,0.44696969696969696
spectral_roll_on,spectral,0.0
spectral_skewness,spectral,0.6408852790201892
spectral_slope,spectral,-0.06827243444458406
spectral_spread,spectral,0.16082348228517004
spectral_variation,spectral,0.6108433878627939
spectrogram_mean_coeff,spectral,1.973691937960205e-10
wavelet_abs_mean,spectral,4.619052688552704e-06
wavelet_energy,spectral,1.6234608282514877e-05
wavelet_entropy,spectral,2.137607913873977
wavelet_std,spectral,1.5432131193932082e-05
wavelet_var,spectral,2.5940305188998786e-10
abs_energy,statistical,1.2370891235396372e-07
average_power,statistical,9.443428423966697e-10
calc_max,statistical,5.502832573256456e-05
calc_mean,statistical,2.868323150206572e-05
calc_median,statistical,2.7528032660484314e-05
calc_min,statistical,3.7077027172927046e-06
calc_std,statistical,1.0698642930445682e-05
calc_var,statistical,1.1446096055317535e-10
ecdf,statistical,0.04166666666666667
ecdf_percentile,statistical,2.9615555831696838e-05
ecdf_percentile_count,statistical,65.5
ecdf_slope,statistical,28342.34645070448
entropy,statistical,0.9999999999999999
hist_mode,statistical,2.1669920772637856e-05
interq_range,statistical,1.4629333691118518e-05
kurtosis,statistical,-0.18649857727406838
mean_abs_deviation,statistical,8.618015572501689e-06
median_abs_deviation,statistical,6.4321229729102924e-06
pk_pk_distance,statistical,5.1320623015271856e-05
rms,statistical,3.061353834424029e-05
skewness,statistical,0.26123320855516907
auc,temporal,0.0037724605283528945
autocorr,temporal,1.0
calc_centroid,temporal,69.62230140618729
distance,temporal,131.00000001222827
lempel_ziv,temporal,0.26515151515151514
mean_abs_diff,temporal,1.0306378016562711e-05
mean_diff,temporal,7.539456280326928e-08
median_abs_diff,temporal,7.68502832215745e-06
median_diff,temporal,-1.1218317013117485e-06
negative_turning,temporal,40.0
neighbourhood_peaks,temporal,5.0
positive_turning,temporal,41.0
slope,temporal,5.453864314386691e-08
sum_abs_diff,temporal,0.0013501355201697152
zero_cross,temporal,0.0
