Tanggal,Nama_Game,Unit_Terjual,Harga_Satuan_USD,Pendapatan_USD
2026-01-01,Cyber Odyssey,47,45.0,2115.0
2026-01-01,Pixel Quest,55,20.0,1100.0
2026-01-01,Galaxy Strike,42,45.0,1890.0
2026-01-01,Mystic Legends,52,20.0,1040.0
2026-01-02,Cyber Odyssey,58,45.0,2610.0
2026-01-02,Pixel Quest,43,20.0,860.0
2026-01-02,Galaxy Strike,46,45.0,2070.0
2026-01-02,Mystic Legends,49,20.0,980.0
2026-01-03,Cyber Odyssey,62,45.0,2790.0
2026-01-03,Pixel Quest,55,20.0,1100.0
2026-01-03,Galaxy Strike,59,45.0,2655.0
2026-01-03,Mystic Legends,53,20.0,1060.0
2026-01-04,Cyber Odyssey,62,45.0,2790.0
2026-01-04,Pixel Quest,62,20.0,1240.0
2026-01-04,Galaxy Strike,56,45.0,2520.0
2026-01-04,Mystic Legends,64,20.0,1280.0
2026-01-05,Cyber Odyssey,40,45.0,1800.0
2026-01-05,Pixel Quest,45,20.0,900.0
2026-01-05,Galaxy Strike,46,45.0,2070.0
2026-01-05,Mystic Legends,51,20.0,1020.0
2026-01-06,Cyber Odyssey,64,45.0,2880.0
2026-01-06,Pixel Quest,52,20.0,1040.0
2026-01-06,Galaxy Strike,38,45.0,1710.0
2026-01-06,Mystic Legends,33,20.0,660.0
2026-01-07,Cyber Odyssey,48,45.0,2160.0
2026-01-07,Pixel Quest,58,20.0,1160.0
2026-01-07,Galaxy Strike,45,45.0,2025.0
2026-01-07,Mystic Legends,41,20.0,820.0
2026-01-08,Cyber Odyssey,56,45.0,2520.0
2026-01-08,Pixel Quest,54,20.0,1080.0
2026-01-08,Galaxy Strike,56,45.0,2520.0
2026-01-08,Mystic Legends,47,20.0,940.0
2026-01-09,Cyber Odyssey,59,45.0,2655.0
2026-01-09,Pixel Quest,46,20.0,920.0
2026-01-09,Galaxy Strike,46,45.0,2070.0
2026-01-09,Mystic Legends,55,20.0,1100.0
2026-01-10,Cyber Odyssey,70,45.0,3150.0
2026-01-10,Pixel Quest,50,20.0,1000.0
2026-01-10,Galaxy Strike,66,45.0,2970.0
2026-01-10,Mystic Legends,66,20.0,1320.0
2026-01-11,Cyber Odyssey,60,45.0,2700.0
2026-01-11,Pixel Quest,56,20.0,1120.0
2026-01-11,Galaxy Strike,71,45.0,3195.0
2026-01-11,Mystic Legends,58,20.0,1160.0
2026-01-12,Cyber Odyssey,44,45.0,1980.0
2026-01-12,Pixel Quest,45,20.0,900.0
2026-01-12,Galaxy Strike,63,45.0,2835.0
2026-01-12,Mystic Legends,53,20.0,1060.0
2026-01-13,Cyber Odyssey,57,45.0,2565.0
2026-01-13,Pixel Quest,60,20.0,1200.0
2026-01-13,Galaxy Strike,46,45.0,2070.0
2026-01-13,Mystic Legends,44,20.0,880.0
2026-01-14,Cyber Odyssey,48,45.0,2160.0
2026-01-14,Pixel Quest,40,20.0,800.0
2026-01-14,Galaxy Strike,65,45.0,2925.0
2026-01-14,Mystic Legends,50,20.0,1000.0
2026-01-15,Cyber Odyssey,69,45.0,3105.0
2026-01-15,Pixel Quest,50,20.0,1000.0
2026-01-15,Galaxy Strike,45,45.0,2025.0
2026-01-15,Mystic Legends,52,20.0,1040.0
2026-01-16,Cyber Odyssey,34,45.0,1530.0
2026-01-16,Pixel Quest,61,20.0,1220.0
2026-01-16,Galaxy Strike,41,45.0,1845.0
2026-01-16,Mystic Legends,54,20.0,1080.0
2026-01-17,Cyber Odyssey,54,45.0,2430.0
